source,sourceLabel,target,targetLabel,richtingBeschrijving,rolLabel,start,eind,punt
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115979140,Arsenius Dehulster,Onderlinge Correspondentie (Source → Target),leerkracht,1870-09-15T00:00:00Z,1872-04-12T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115818424,Achiel Piepers,Onderlinge Correspondentie (Source → Target),financieel beheerder,1896-09-10T00:00:00Z,1908-06-26T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q2450554,Alphonse De Leyn,Onderlinge Correspondentie (Source → Target),rector,1872-09-01T00:00:00Z,1883-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115835605,Emiel Minne,Onderlinge Correspondentie (Source → Target),directeur,1851-01-01T00:00:00Z,1878-09-11T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,Onderlinge Correspondentie (Source → Target),leerkracht,1886-09-15T00:00:00Z,1887-09-10T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q13575367,Edmond Denys,Onderlinge Correspondentie (Source → Target),leerkracht,1889-09-16T00:00:00Z,1902-05-31T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),leerkracht,1842-01-01T00:00:00Z,1846-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q113925472,Edward Van Robays,Onderlinge Correspondentie (Source → Target),leerkracht,1881-10-04T00:00:00Z,1892-09-24T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115979130,Augustinus De Geetere,Onderlinge Correspondentie (Source → Target),leerkracht,1870-09-27T00:00:00Z,1874-09-26T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q55420570,Julius Leroy,Onderlinge Correspondentie (Source → Target),leerkracht,1885-01-09T00:00:00Z,1889-09-23T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q2426280,Lodewijk Van Haecke,Onderlinge Correspondentie (Source → Target),leerkracht,1852-09-01T00:00:00Z,,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115818151,Victor Beheyt,Onderlinge Correspondentie (Source → Target),leerkracht,1877-09-16T00:00:00Z,1886-06-11T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115834834,Desideer Meersseman,Onderlinge Correspondentie (Source → Target),leerkracht,1853-05-21T00:00:00Z,1875-03-26T00:00:00Z,
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115839360,Bruno Van Hove,Onderlinge Correspondentie (Source → Target),leerkracht,1844-01-01T00:00:00Z,1846-01-01T00:00:00Z,
